Time(Iteration),hLinUCB,LinUCB
0,0.670485301934,0.670485301934
1,1.18007102925,2.11769759728
2,1.78661278236,3.36065735943
3,2.08805703858,4.3025544667
4,2.28606961818,5.5949546606
5,3.35111571708,6.36858068581
6,3.61014705207,7.45043578182
7,3.91320713352,7.89570629864
8,4.11437669103,9.05928761283
9,4.39904753257,9.94992135137
10,4.60298282684,10.3026904635
11,4.89287547583,10.8256402497
12,5.02745131842,11.5570858989
13,5.27341624879,12.0833627613
14,5.44846659609,12.5061820898
15,5.7294747103,13.2668322669
16,5.78106489682,13.5428378159
17,6.24075981937,14.4094309799
18,6.28869552074,14.6577681258
19,6.41506179465,14.9042089615
20,6.68398784729,15.2244841442
21,6.70769467102,15.2928873248
22,6.87025131872,15.8191844624
23,7.14714934214,16.1024632204
24,7.33349115159,16.2572037784
25,7.40809119351,16.3685883963
26,7.42232605352,16.860150698
27,7.79830841242,17.1232810901
28,7.79830841242,17.5150614766
29,7.8440115067,17.9633478098
30,7.92548861055,18.1975245659
31,8.03213213258,18.4231155894
32,8.21717851331,18.4957063877
33,8.33139994096,18.7320351392
34,8.36583900322,18.866143455
35,8.39178971405,19.1911882146
36,8.44267626221,19.215971361
37,8.48930700026,19.7403500558
38,8.5261533762,19.8162427327
39,8.64382273056,19.8940531459
40,8.7477750493,20.1017153385
41,8.80543400407,20.3879511604
42,8.89368459424,20.4843960629
43,8.90895002112,20.7293442951
44,8.9204334115,21.0824028443
45,8.9204334115,21.1777832637
46,8.97632957862,21.2803045865
47,9.06921626533,21.5669626881
48,9.21806942279,21.7110770724
49,9.25434015762,22.2639883295
50,9.28390621703,22.3663714916
51,9.29800791939,22.484497073
52,9.31930212466,22.584021888
53,9.31930212466,22.6810018839
54,9.51435687727,22.8766292892
55,9.53303737641,23.3430669072
56,9.62127493843,23.5708526086
57,9.63662762733,23.6411538563
58,9.76827750244,23.784245468
59,9.81394233531,23.9128272127
60,9.82893716809,24.0314576078
61,9.87597113729,24.3870700379
62,9.9035036047,24.4979829243
63,9.9035036047,24.5434963163
64,9.90422059674,24.6480911684
65,9.92176599668,24.8213038499
66,9.96649304973,24.9515555631
67,9.98172432159,25.1775483345
68,9.98172432159,25.2267778854
69,10.0172091804,25.2781966319
70,10.0488721225,25.3907877477
71,10.0725697907,25.460213076
72,10.1394245899,25.6458429838
73,10.1954338942,25.7024947238
74,10.2081219856,25.7138637465
75,10.2081219856,25.8815427422
76,10.2217599208,25.9227092557
77,10.2228102293,25.9635748523
78,10.2417367645,25.9831459891
79,10.2627006359,26.0289321393
80,10.3056030474,26.1339770511
81,10.3056030474,26.1971040306
82,10.3919533033,26.3810020198
83,10.40477156,26.4494115638
84,10.4181254087,26.530654186
85,10.4181254087,26.6154013019
86,10.4466539342,26.6439298274
87,10.4704499432,26.7748818154
88,10.5048550663,26.8939594991
89,10.5276793833,26.9466191606
90,10.548458338,27.0355390595
91,10.548458338,27.1200651766
92,10.5586707238,27.1302775623
93,10.5586707238,27.2918555583
94,10.5693422928,27.4066756717
95,10.6502084397,27.4182909579
96,10.6502084397,27.4864734129
97,10.6502084397,27.4955141795
98,10.6553098744,27.5006156141
99,10.6625716589,27.6116250059
100,10.6709248251,27.7583309649
101,10.6785995029,27.8891844593
102,10.7221118387,27.9856807705
103,10.72664345,28.0558279313
104,10.72664345,28.1457032984
105,10.7294824035,28.2566542488
106,10.739529016,28.2588109759
107,10.739529016,28.3968400983
108,10.739529016,28.3968400983
109,10.795454209,28.4527652913
110,10.7990195955,28.4658804905
111,10.8559567235,28.5514977617
112,10.8613181903,28.6750518581
113,10.9098811962,28.8306054157
114,10.9144871633,28.8586420196
115,10.9144871633,28.8586420196
116,10.9348403842,28.9124330508
117,10.976495469,29.0032709565
118,10.976495469,29.096813181
119,10.9937696048,29.1589517549
120,10.9937696048,29.1998249593
121,11.0071195612,29.232835777
122,11.0471075517,29.2728237675
123,11.0471075517,29.329017898
124,11.047108776,29.329017898
125,11.0476009666,29.4092993079
126,11.0618864622,29.5202124865
127,11.0618864622,29.5202124865
128,11.0618864622,29.5651353023
129,11.0765751305,29.6299002123
130,11.0771281461,29.752180632
131,11.0925299814,29.9631920519
132,11.101627997,29.9900332239
133,11.1146731367,30.0304996324
134,11.1385902763,30.0544167719
135,11.1433564422,30.1990522251
136,11.1433564422,30.2746381839
137,11.1463542638,30.3037156005
138,11.1601380869,30.3321062254
139,11.1700074949,30.34114595
140,11.1700074949,30.4034469958
141,11.1700074949,30.4047060037
142,11.1955983767,30.4345450172
143,11.2207903603,30.4906551177
144,11.2350253556,30.5572723963
145,11.2464767483,30.5785515688
146,11.2464767483,30.5785515688
147,11.2972885856,30.6031573943
148,11.2973158219,30.7026922595
149,11.3286175529,30.7339939905
150,11.3487947724,30.7938568845
151,11.3487947724,30.8108280236
152,11.3487947724,30.8364083329
153,11.3487947724,30.8562613615
154,11.3508006605,30.8844084675
155,11.3593087139,30.8929165208
156,11.3671948739,30.940107635
157,11.3671948739,31.0183265449
158,11.3671948739,31.0556457768
159,11.3757381711,31.1029942779
160,11.3757381711,31.1547411148
161,11.3757381711,31.2009678364
162,11.3757381711,31.2264162873
163,11.3757381711,31.2346044791
164,11.378356305,31.2513152745
165,11.378356305,31.2513152745
166,11.4015163184,31.2744752878
167,11.4015163184,31.3198205039
168,11.4015163184,31.3624278467
169,11.4114950902,31.3724066186
170,11.445113743,31.4180184719
171,11.4499581303,31.4426915814
172,11.4499581303,31.4467779199
173,11.4572227744,31.5334118663
174,11.4572227744,31.5568261994
175,11.4572227744,31.659543435
176,11.4919628243,31.7151631369
177,11.4919628243,31.7336831277
178,11.4919628243,31.7336831277
179,11.4919628243,31.7620345049
180,11.4937992401,31.8091906365
181,11.5582067351,31.9191925366
182,11.5582067351,31.955540445
183,11.5640195845,31.9974910533
184,11.5640195845,32.0207924129
185,11.6276327718,32.129111451
186,11.664248451,32.1934362994
187,11.6867952553,32.2159831036
188,11.6867952553,32.2394356686
189,11.6874554171,32.2919588945
190,11.6892776279,32.4537012053
191,11.6892776279,32.5491934919
192,11.7000058925,32.570081463
193,11.7000058925,32.586536665
194,11.7004447493,32.586536665
195,11.7004447493,32.6267570049
196,11.7096214254,32.674366812
197,11.7096214254,32.7080885739
198,11.7097450991,32.7156115073
199,11.7097450991,32.7156115073
200,11.7097450991,32.7251430045
201,11.7153067442,32.7649576196
202,11.7215015979,32.8134152584
203,11.7244833439,32.822139062
204,11.728166911,32.8764572436
205,11.728166911,32.9325800794
206,11.728166911,32.9325800794
207,11.728166911,32.941303883
208,11.7286094123,32.9693090669
209,11.7363236719,32.9739419221
210,11.7363236719,32.9844231145
211,11.7455962414,33.0430588467
212,11.7633492065,33.0836818056
213,11.7633492065,33.089573458
214,11.7633492065,33.0945959517
215,11.7633492065,33.1407818596
216,11.7633492065,33.1407818596
217,11.7633492065,33.1552492405
218,11.7633492065,33.1552492405
219,11.7633492065,33.160062648
220,11.782218957,33.2058507138
221,11.8016508852,33.2322963486
222,11.8016508852,33.2322963486
223,11.8085168892,33.2660653285
224,11.8085168892,33.2740547911
225,11.8085168892,33.333128759
226,11.8124890709,33.3464233012
227,11.8124890709,33.3509488054
228,11.8124890709,33.3636893076
229,11.8124890709,33.3636893076
230,11.8124890709,33.3703386859
231,11.8218872301,33.4173187793
232,11.8218872301,33.4505606111
233,11.8218872301,33.4787264068
234,11.8218872301,33.4974232672
235,11.8218872301,33.5680631137
236,11.8275250067,33.5855513571
237,11.8324432759,33.6668628812
238,11.8324432759,33.704134495
239,11.8324432759,33.7838306668
240,11.8324432759,33.7849978269
241,11.8388275788,33.7930488926
242,11.8388275788,33.7986269014
243,11.8388275788,33.7986269014
244,11.8388275788,33.8274976978
245,11.8388275788,33.8843095706
246,11.8388275788,33.8843095706
247,11.8431280052,33.889785856
248,11.8488029748,33.967744505
249,11.8488029748,34.022629537
250,11.8580648726,34.0318914349
251,11.863037831,34.0368643932
252,11.863037831,34.0368643932
253,11.863037831,34.0944008896
254,11.863037831,34.1018266534
255,11.8638694477,34.1510197517
256,11.8663221989,34.1826340646
257,11.8663221989,34.1926872453
258,11.8663221989,34.2735971899
259,11.8663221989,34.2819179995
260,11.87623954,34.324515504
261,11.876952361,34.3252283251
262,11.8770043644,34.3252803285
263,11.8789267937,34.3766731476
264,11.8789267937,34.4073655919
265,11.895247667,34.4455627532
266,11.8978200089,34.4559549397
267,11.8978200089,34.4806243112
268,11.8978200089,34.5519086384
269,11.8978200089,34.5961030148
270,11.8978200089,34.6238094001
271,11.8978200089,34.6414277438
272,11.8986594814,34.6422672163
273,11.8986594814,34.6616189534
274,11.9053208385,34.6994602445
275,11.9053208385,34.8662973481
276,11.9053208385,34.9288571523
277,11.9053208385,34.9288571523
278,11.9169470383,34.9400766311
279,11.9220488921,34.9724591077
280,11.927683396,34.9951842942
281,11.927683396,34.9972388336
282,11.927683396,35.0500473117
283,11.9427500196,35.0651139353
284,11.9582568572,35.0806207729
285,11.9587872928,35.1283392923
286,11.9610137441,35.2313493507
287,11.9610137441,35.2313493507
288,11.9610137441,35.2341653981
289,11.9610137441,35.2614502267
290,11.9651049986,35.2655414813
291,11.9738221346,35.3026827131
292,11.9738221346,35.3026827131
293,11.9738221346,35.3451001589
294,11.9738221346,35.3451001589
295,11.9882926131,35.3546103576
296,11.9882926131,35.3920636458
297,11.9981599279,35.4019309606
298,12.0027835956,35.4065546283
299,12.0141419333,35.4522002396
